edition,start_date,winner_name,winner_team,distance,time_overall,time_margin,stage_wins,stages_led,height,weight,age,born,birth_town,birth_country,nationality,latitude,longitude
1,01-07-1903,Maurice Garin,La Française,2428.0,94.55388889,2.989166667,3,6,1.62,60.0,32,1871-03-03,Arvier,Italy,France,46.603354,1.888334
2,02-07-1904,Henri Cornet,Conte,2428.0,96.09861111,2.270555556,1,3,2.6100000000000003,53.0,19,1884-08-04,Desvres,France,France,46.603354,1.888334
3,09-07-1905,Louis Trousselier,Peugeot–Wolber,2994.0,84.08666667,2.002222222,5,10,3.6100000000000003,54.0,24,1881-06-29,Paris,France,France,46.603354,1.888334
4,04-07-1906,René Pottier,Peugeot–Wolber,4637.0,85.08666667,3.002222222,5,12,4.61,55.0,27,1879-06-05,Moret-sur-Loing,France,France,46.603354,1.888334
5,08-07-1907,Lucien Petit-Breton,Peugeot–Wolber,4488.0,86.08666667,4.002222222,2,5,5.61,56.0,24,1882-10-18,Plessé,France,France,46.603354,1.888334
6,13-07-1908,Lucien Petit-Breton,Peugeot–Wolber,4497.0,87.08666667,5.002222222,5,13,6.61,57.0,25,1882-10-18,Plessé,France,France,46.603354,1.888334
7,05-07-1909,François Faber,Alcyon–Dunlop,4498.0,88.08666667,6.002222222,6,13,1.78,88.0,22,1887-01-26,Aulnay-sur-Iton,France,Luxembourg,49.611277,6.129799
8,01-07-1910,Octave Lapize,Alcyon–Dunlop,4734.0,89.08666667,7.002222222,4,3,8.61,59.0,22,1887-10-24,Paris,France,France,46.603354,1.888334
9,02-07-1911,Gustave Garrigou,Alcyon–Dunlop,5343.0,90.08666667,8.002222222,2,13,9.61,60.0,26,1884-09-24,Vabres,France,France,46.603354,1.888334
10,30-06-1912,Odile Defraye,Alcyon–Dunlop,5289.0,91.08666667,9.002222222,3,13,10.61,61.0,23,1888-07-14,Rumbeke,Belgium,Belgium,50.640281,4.666715
11,29-06-1913,Philippe Thys,Peugeot–Wolber,5287.0,197.9,0.135555556,1,8,11.61,62.0,23,1889-10-08,Anderlecht,Belgium,Belgium,50.640281,4.666715
12,28-06-1914,Philippe Thys,Peugeot–Wolber,5380.0,200.48,0.016944444,1,15,12.61,63.0,24,1889-10-08,Anderlecht,Belgium,Belgium,50.640281,4.666715
13,29-06-1919,Firmin Lambot,La Sportive,5560.0,231.1208333,1.715,1,2,13.61,64.0,33,1886-03-14,Florennes,Belgium,Belgium,50.640281,4.666715
14,27-06-1920,Philippe Thys,La Sportive,5503.0,228.6036111,0.965833333,4,14,14.61,65.0,30,1889-10-08,Anderlecht,Belgium,Belgium,50.640281,4.666715
15,26-06-1921,Léon Scieur,La Sportive,5485.0,221.8405556,0.305,2,14,15.61,66.0,33,1888-03-18,Florennes,Belgium,Belgium,50.640281,4.666715
16,25-06-1922,Firmin Lambot,Peugeot–Wolber,5375.0,222.135,0.694722222,0,3,16.61,67.0,36,1886-03-14,Florennes,Belgium,Belgium,50.640281,4.666715
17,24-06-1923,Henri Pélissier,Automoto–Hutchinson,5386.0,222.2583333,0.508333333,3,6,17.61,68.0,34,1889-01-22,Paris,France,France,46.603354,1.888334
18,22-06-1924,Ottavio Bottecchia,Automoto,5425.0,226.3058333,0.593055556,4,15,18.61,69.0,29,1894-08-01,San Martino di Colle Umberto,Italy,Italy,42.638426,12.674297
19,21-06-1925,Ottavio Bottecchia,Automoto–Hutchinson,5440.0,219.1716667,0.915,4,13,19.61,70.0,30,1894-08-01,San Martino di Colle Umberto,Italy,Italy,42.638426,12.674297
20,20-06-1926,Lucien Buysse,Automoto–Hutchinson,5745.0,238.7402778,1.373611111,2,8,20.61,71.0,33,1892-09-11,Wontergem,Belgium,Belgium,50.640281,4.666715
21,19-06-1927,Nicolas Frantz,Alcyon–Dunlop,5398.0,198.2783333,1.811388889,3,14,21.61,72.0,27,1899-11-04,Mamer,Luxembourg,Luxembourg,49.611277,6.129799
22,17-06-1928,Nicolas Frantz,Alcyon–Dunlop,5476.0,192.8161111,0.847222222,5,22,22.61,73.0,28,1899-11-04,Mamer,Luxembourg,Luxembourg,49.611277,6.129799
23,30-06-1929,Maurice De Waele,Alcyon–Dunlop,5286.0,186.6541667,0.745555556,1,16,23.61,74.0,32,1896-12-27,Lovendegem,Belgium,Belgium,50.640281,4.666715
24,02-07-1930,André Leducq,Alcyon–Dunlop,4822.0,172.2044444,0.237222222,2,13,24.61,75.0,26,27-02-1904,Saint-Ouen,France,France,46.603354,1.888334
25,30-06-1931,Antonin Magne,France,5091.0,177.1675,0.203333333,1,16,25.61,76.0,27,15-01-1904,Ytrac,France,France,46.603354,1.888334
26,06-07-1932,André Leducq,France,4479.0,154.1969444,0.406666667,6,19,26.61,77.0,28,27-02-1904,Saint-Ouen,France,France,46.603354,1.888334
27,27-06-1933,Georges Speicher,France,4395.0,147.8602778,0.067777778,3,12,27.61,78.0,26,08-06-1907,Paris,France,France,46.603354,1.888334
28,03-07-1934,Antonin Magne,France,4470.0,147.2327778,0.4575,3,22,28.61,79.0,30,15-01-1904,Ytrac,France,France,46.603354,1.888334
29,04-07-1935,Romain Maes,Belgium,4338.0,141.3833333,0.288055556,3,21,29.61,80.0,22,10-08-1912,Zerkegem,Belgium,Belgium,50.640281,4.666715
30,07-07-1936,Sylvère Maes,Belgium,4442.0,142.7922222,0.440555556,4,14,30.61,81.0,26,27-08-1909,Zevekote,Belgium,Belgium,50.640281,4.666715
31,30-06-1937,Roger Lapébie,France,4415.0,138.9752778,0.118611111,3,4,31.61,82.0,26,16-01-1911,Bayonne,France,France,46.603354,1.888334
32,05-07-1938,Gino Bartali,Italy,4694.0,148.4866667,0.305,2,8,1.72,66.0,23,18-07-1914,Ponte e Ema,Italy,Italy,42.638426,12.674297
33,10-07-1939,Sylvère Maes,Belgium,4224.0,132.0547222,0.508333333,2,8,33.61,84.0,29,27-08-1909,Zevekote,Belgium,Belgium,50.640281,4.666715
34,25-06-1947,Jean Robic,France,4642.0,148.1902778,0.050833333,3,1,1.61,60.0,26,10-06-1921,Vouziers,France,France,46.603354,1.888334
35,30-06-1948,Gino Bartali,Italy,4922.0,147.1766667,0.440555556,7,9,1.72,66.0,33,18-07-1914,Ponte e Ema,Italy,Italy,42.638426,12.674297
36,30-06-1949,Fausto Coppi,Italy,4808.0,149.6802778,0.169444444,3,5,1.77,68.0,29,15-09-1919,Castellania,Italy,Italy,42.638426,12.674297
37,13-07-1950,Ferdinand Kübler,Switzerland,4773.0,145.6155556,0.1525,3,11,37.61,88.0,30,24-07-1919,Marthalen,Switzerland,Switzerland,46.798562,8.231974
38,04-07-1951,Hugo Koblet,Switzerland,4690.0,142.3372222,0.372777778,5,11,38.61,89.0,26,21-03-1925,Zürich,Switzerland,Switzerland,46.798562,8.231974
39,25-06-1952,Fausto Coppi,Italy,4898.0,151.9555556,0.474444444,5,14,1.77,68.0,30,15-09-1919,Castellania,Italy,Italy,42.638426,12.674297
40,03-07-1953,Louison Bobet,France,4476.0,129.3902778,0.237222222,2,5,1.79,75.0,26,12-03-1925,Saint-Méen-le-Grand,France,France,46.603354,1.888334
41,08-07-1954,Louison Bobet,France,4656.0,140.1013889,0.254166667,3,14,1.79,75.0,29,12-03-1925,Saint-Méen-le-Grand,France,France,46.603354,1.888334
42,07-07-1955,Louison Bobet,France,4495.0,130.4905556,0.067777778,2,6,1.79,75.0,30,12-03-1925,Saint-Méen-le-Grand,France,France,46.603354,1.888334
43,05-07-1956,Roger Walkowiak,France,4498.0,124.0211111,0.016944444,0,8,43.61,94.0,29,02-03-1927,Montluçon,France,France,46.603354,1.888334
44,27-06-1957,Jacques Anquetil,France,4669.0,135.745,0.237222222,4,15,1.76,70.0,23,08-01-1934,Mont-Saint-Aignan,France,France,46.603354,1.888334
45,26-06-1958,Charly Gaul,Luxembourg,4319.0,116.9847222,0.050833333,4,2,1.73,64.0,25,08-12-1932,Pfaffenthal,Luxembourg,Luxembourg,49.611277,6.129799
46,25-06-1959,Federico Bahamontes,Spain,4358.0,123.7791667,0.067777778,1,6,46.61,97.0,30,09-07-1928,Santo Domingo-Caudilla,Spain,Spain,39.326068,-4.837979
47,26-06-1960,Gastone Nencini,Italy,4173.0,112.145,0.084722222,0,14,47.61,98.0,30,01-03-1930,Barberino di Mugello,Italy,Italy,42.638426,12.674297
48,25-06-1961,Jacques Anquetil,France,4397.0,122.0258333,0.203333333,2,21,1.76,70.0,27,08-01-1934,Mont-Saint-Aignan,France,France,46.603354,1.888334
