hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
Resort Hotel,0,0,2015,July,27,1,0,1,2,0.0,0,BB,FRA,Corporate,Corporate,0,0,0,A,G,0,No Deposit,110.0,0,Transient,107.42,0,0,Check-Out,2015-07-02
Resort Hotel,1,1,2015,July,28,8,0,1,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,110.0,0,Transient,104.72,0,1,Canceled,2015-07-08
Resort Hotel,1,1,2015,July,28,8,0,1,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,110.0,0,Transient,104.72,0,1,Canceled,2015-07-08
Resort Hotel,0,1,2015,July,28,8,0,2,2,0.0,0,BB,CHE,Corporate,Corporate,0,0,0,A,F,0,No Deposit,110.0,0,Transient,104.72,1,1,Check-Out,2015-07-10
Resort Hotel,0,84,2015,July,28,11,1,1,2,0.0,0,HB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,113.0,0,Transient,100.0,1,0,Check-Out,2015-07-13
Resort Hotel,0,1,2015,July,29,14,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,270.0,0,Transient,134.0,0,0,Check-Out,2015-07-15
Resort Hotel,1,12,2015,July,29,16,2,3,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,178.0,0,Transient,139.0,0,0,Canceled,2015-07-07
Resort Hotel,0,0,2015,July,30,19,1,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Group,88.2,0,0,Check-Out,2015-07-20
Resort Hotel,0,5,2015,July,30,21,0,2,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,F,0,No Deposit,154.0,0,Transient,99.5,0,0,Check-Out,2015-07-23
Resort Hotel,1,19,2015,July,30,23,1,3,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,178.0,0,Transient,139.0,0,0,Canceled,2015-07-07
Resort Hotel,1,0,2015,July,31,30,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,270.0,0,Transient,114.0,0,0,Canceled,2015-07-30
Resort Hotel,0,1,2015,August,32,7,0,1,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,F,0,No Deposit,144.0,0,Transient,114.0,0,0,Check-Out,2015-08-08
Resort Hotel,1,33,2015,August,33,12,0,1,1,0.0,0,BB,PRT,Groups,Corporate,0,0,0,A,A,0,No Deposit,307.0,0,Transient-Party,191.0,0,0,No-Show,2015-08-12
Resort Hotel,0,33,2015,August,33,12,0,1,2,0.0,0,BB,PRT,Groups,Corporate,0,0,0,G,G,0,No Deposit,307.0,0,Transient-Party,252.0,0,1,Check-Out,2015-08-13
Resort Hotel,0,1,2015,August,33,13,0,1,3,0.0,0,BB,IRL,Corporate,Corporate,0,0,0,A,F,0,No Deposit,110.0,0,Transient,158.0,1,1,Check-Out,2015-08-14
Resort Hotel,0,37,2015,August,34,16,1,1,1,0.0,0,BB,PRT,Groups,Corporate,0,0,0,A,A,0,No Deposit,307.0,0,Transient-Party,172.0,0,0,Check-Out,2015-08-17
Resort Hotel,0,37,2015,August,34,16,1,1,1,0.0,0,BB,PRT,Groups,Corporate,0,0,0,A,A,0,No Deposit,307.0,0,Transient,172.0,0,0,Check-Out,2015-08-17
Resort Hotel,1,4,2015,August,34,16,1,1,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,E,E,0,No Deposit,110.0,0,Transient,185.0,0,0,Canceled,2015-08-13
Resort Hotel,0,37,2015,August,34,16,1,1,1,0.0,0,BB,PRT,Groups,Corporate,0,0,0,A,A,0,No Deposit,307.0,0,Transient-Party,172.0,0,0,Check-Out,2015-08-17
Resort Hotel,0,37,2015,August,34,16,1,1,1,0.0,0,BB,PRT,Groups,Corporate,0,0,0,A,A,0,No Deposit,307.0,0,Transient-Party,172.0,0,0,Check-Out,2015-08-17
Resort Hotel,0,37,2015,August,34,16,1,1,1,0.0,0,BB,PRT,Groups,Corporate,0,0,0,A,A,0,No Deposit,307.0,0,Transient-Party,172.0,0,0,Check-Out,2015-08-17
Resort Hotel,0,37,2015,August,34,16,1,1,1,0.0,0,BB,PRT,Groups,Corporate,0,0,0,A,A,0,No Deposit,307.0,0,Transient-Party,172.0,0,0,Check-Out,2015-08-17
