arrival_date,hotel,lead_time
2015-08-01,City Hotel,0.5
2015-09-01,City Hotel,19.0
2015-10-01,Resort Hotel,18.166666666666668
2015-11-01,Resort Hotel,29.822429906542055
2015-12-01,Resort Hotel,5.0
2016-01-01,City Hotel,0.6666666666666666
2016-01-01,Resort Hotel,8.0
2016-02-01,Resort Hotel,3.0
2016-03-01,Resort Hotel,10.0
2016-04-01,Resort Hotel,4.0
2016-05-01,Resort Hotel,8.333333333333334
2016-07-01,City Hotel,131.0
2016-07-01,Resort Hotel,5.5
2016-08-01,Resort Hotel,5.0
2016-09-01,City Hotel,11.333333333333334
2016-09-01,Resort Hotel,154.0
2016-10-01,City Hotel,172.0
2016-10-01,Resort Hotel,364.0
2016-11-01,City Hotel,19.0
2016-11-01,Resort Hotel,2.0
2016-12-01,City Hotel,131.5
2016-12-01,Resort Hotel,4.0
2017-01-01,City Hotel,1.0
2017-01-01,Resort Hotel,12.8
2017-02-01,City Hotel,20.0
2017-03-01,City Hotel,0.0
2017-03-01,Resort Hotel,37.0
2017-05-01,City Hotel,12.333333333333334
2017-06-01,City Hotel,210.0
2017-06-01,Resort Hotel,188.0
2017-07-01,City Hotel,191.0
2017-07-01,Resort Hotel,151.0
2017-08-01,Resort Hotel,11.0
