hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,0,93,2017,August,33,17,0,2,3,0.0,0,BB,BEL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,116.1,0,1,Check-Out,2017-08-19
City Hotel,1,18,2017,January,1,6,2,2,2,2.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,F,F,1,No Deposit,0,Transient,116.79,0,2,Canceled,2016-12-22
City Hotel,0,2,2017,February,5,1,0,1,1,0.0,0,SC,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,88.0,0,1,Check-Out,2017-02-02
City Hotel,0,85,2016,October,41,6,1,3,2,0.0,0,BB,SWE,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,85.0,0,2,Check-Out,2016-10-10
City Hotel,0,65,2017,June,23,5,1,3,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,140.0,0,1,Check-Out,2017-06-09
City Hotel,0,79,2016,April,16,12,0,5,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,90.95,0,1,Check-Out,2016-04-17
City Hotel,0,63,2016,July,31,25,1,3,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,94.5,0,1,Check-Out,2016-07-29
City Hotel,0,19,2017,May,18,6,2,3,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,140.0,0,0,Check-Out,2017-05-11
City Hotel,0,0,2016,June,24,9,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,110.7,0,1,Check-Out,2016-06-10
Resort Hotel,0,81,2015,October,41,4,2,5,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,E,0,No Deposit,0,Transient,63.66,0,0,Check-Out,2015-10-11
Resort Hotel,0,119,2016,August,34,19,1,2,2,1.0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,0,Transient-Party,241.0,0,2,Check-Out,2016-08-22
City Hotel,0,20,2017,January,1,3,0,4,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,90.1,0,2,Check-Out,2017-01-07
City Hotel,0,10,2016,September,37,5,1,2,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,164.0,0,1,Check-Out,2016-09-08
City Hotel,0,44,2016,November,45,3,0,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,93.33,0,1,Check-Out,2016-11-06
City Hotel,1,175,2017,July,29,17,1,2,3,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,152.1,0,0,Canceled,2017-05-19
City Hotel,1,141,2016,April,15,8,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,72.25,0,1,Canceled,2016-02-29
City Hotel,0,163,2017,July,27,7,2,2,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,89.1,0,1,Check-Out,2017-07-11
City Hotel,0,70,2017,May,21,23,0,2,2,0.0,0,SC,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,80.1,0,0,Check-Out,2017-05-25
Resort Hotel,0,0,2015,November,49,30,1,2,2,0.0,0,HB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,0,Transient,88.0,0,0,Check-Out,2015-12-03
City Hotel,0,133,2017,July,28,9,2,1,2,0.0,0,BB,BEL,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient-Party,89.1,0,2,Check-Out,2017-07-12
City Hotel,0,118,2016,June,24,6,1,1,1,0.0,0,BB,RUS,Offline TA/TO,Corporate,0,0,0,A,A,1,No Deposit,0,Transient-Party,110.0,0,0,Check-Out,2016-06-08
Resort Hotel,0,208,2017,June,24,12,2,5,2,0.0,0,FB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,0,Transient,136.0,0,2,Check-Out,2017-06-19
City Hotel,0,90,2017,April,16,20,2,3,3,0.0,0,HB,ITA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,198.0,0,3,Check-Out,2017-04-25
City Hotel,0,52,2017,May,18,6,2,1,3,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,189.0,0,0,Check-Out,2017-05-09
City Hotel,1,190,2016,April,15,9,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,3,4,A,A,0,No Deposit,31,Transient-Party,70.0,0,0,Canceled,2015-12-09
Resort Hotel,0,178,2016,July,28,9,2,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,106.5,1,1,Check-Out,2016-07-15
Resort Hotel,0,34,2016,April,16,15,1,2,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,E,0,No Deposit,0,Transient,60.0,0,0,Check-Out,2016-04-18
Resort Hotel,1,105,2016,March,12,18,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,48.0,0,0,Canceled,2016-03-14
Resort Hotel,0,0,2016,June,26,24,0,1,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,0,Transient,161.0,1,0,Check-Out,2016-06-25
City Hotel,0,26,2017,June,23,10,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient,144.0,0,1,Check-Out,2017-06-11
City Hotel,1,15,2017,February,9,27,1,2,1,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,108.0,0,0,Canceled,2017-02-12
City Hotel,0,41,2017,March,12,23,0,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,121.33,0,1,Check-Out,2017-03-26
Resort Hotel,0,10,2016,February,10,29,1,3,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,29.0,0,0,Check-Out,2016-03-04
City Hotel,0,22,2015,November,47,17,0,1,1,0.0,0,BB,AUT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,0,Transient-Party,62.0,0,0,Check-Out,2015-11-18
City Hotel,0,131,2016,October,43,21,2,2,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,86.9,0,1,Check-Out,2016-10-25
City Hotel,0,17,2016,June,25,13,1,0,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,101.0,0,1,Check-Out,2016-06-14
City Hotel,1,245,2016,June,25,17,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,75.0,0,0,Canceled,2016-02-09
Resort Hotel,1,100,2016,August,34,20,2,5,3,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,0,Transient,281.0,0,0,Canceled,2016-05-13
City Hotel,0,0,2016,January,3,14,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,72.8,0,0,Check-Out,2016-01-15
City Hotel,1,44,2015,September,37,10,0,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,126.0,0,0,Canceled,2015-08-17
City Hotel,0,451,2017,July,28,12,0,3,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,0.0,0,0,Check-Out,2017-07-15
City Hotel,1,52,2017,February,7,17,1,2,2,2.0,0,BB,POL,Online TA,TA/TO,0,0,0,F,F,2,No Deposit,0,Transient,195.33,0,0,Canceled,2017-01-17
City Hotel,1,281,2016,April,16,14,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,62.0,0,0,Canceled,2015-10-21
Resort Hotel,0,169,2016,March,14,31,1,3,3,0.0,0,BB,PRT,Groups,Direct,0,0,0,A,C,1,Refundable,0,Transient-Party,101.0,0,0,Check-Out,2016-04-04
City Hotel,0,1,2017,March,12,19,1,0,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,0,Transient,98.0,0,0,Check-Out,2017-03-20
Resort Hotel,0,301,2016,September,37,7,2,5,2,2.0,0,BB,GBR,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,0,Transient,145.0,0,0,Check-Out,2016-09-14
City Hotel,0,179,2015,September,39,20,1,0,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient,93.5,0,0,Check-Out,2015-09-21
Resort Hotel,0,0,2017,July,30,29,0,0,2,0.0,0,BB,PRT,Direct,Direct,1,0,0,A,A,0,No Deposit,0,Transient,0.0,0,0,Check-Out,2017-07-29
City Hotel,1,288,2017,July,29,16,2,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,107.1,0,1,Canceled,2017-01-24
City Hotel,0,141,2016,August,33,10,0,2,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,114.3,0,1,Check-Out,2016-08-12
Resort Hotel,1,30,2016,August,33,8,1,4,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,271.0,0,2,Canceled,2016-07-21
City Hotel,1,212,2017,February,8,22,0,4,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,85.0,0,0,Canceled,2016-07-29
City Hotel,1,68,2016,May,20,13,1,2,2,1.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,140.4,0,0,Canceled,2016-03-06
Resort Hotel,0,0,2016,October,41,3,1,0,2,0.0,0,BB,SWE,Direct,Direct,0,0,0,F,F,0,No Deposit,0,Transient,130.0,0,0,Check-Out,2016-10-04
Resort Hotel,0,4,2017,April,17,28,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,1,0,1,D,D,1,No Deposit,0,Transient,92.8,0,0,Check-Out,2017-05-01
City Hotel,0,35,2015,September,40,29,0,4,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,92.33,0,1,Check-Out,2015-10-03
Resort Hotel,0,10,2016,November,45,3,1,3,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,60.0,0,2,Check-Out,2016-11-07
Resort Hotel,0,129,2016,October,41,3,1,3,2,1.0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,59.0,0,0,Check-Out,2016-10-07
City Hotel,0,6,2016,October,45,30,2,3,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,102.41,0,1,Check-Out,2016-11-04
Resort Hotel,1,74,2016,July,29,13,2,5,2,0.0,0,BB,CZE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,160.0,0,0,Canceled,2016-05-05
City Hotel,1,194,2017,February,7,14,0,5,1,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,54.32,0,1,No-Show,2017-02-14
Resort Hotel,0,245,2016,September,40,26,3,7,2,0.0,0,HB,CN,Groups,TA/TO,0,0,0,A,C,1,No Deposit,0,Transient-Party,82.0,0,0,Check-Out,2016-10-06
City Hotel,0,177,2017,August,31,1,0,1,2,1.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,148.5,0,1,Check-Out,2017-08-02
City Hotel,0,48,2016,April,17,17,2,1,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,88.5,0,1,Check-Out,2016-04-20
City Hotel,0,229,2016,October,43,21,2,2,2,0.0,0,BB,NLD,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient,80.75,0,2,Check-Out,2016-10-25
City Hotel,0,16,2016,August,36,28,2,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,107.0,0,0,Check-Out,2016-09-02
City Hotel,0,54,2016,May,19,6,0,1,2,2.0,0,BB,FRA,Online TA,TA/TO,0,0,0,F,G,0,No Deposit,0,Transient,198.9,0,2,Check-Out,2016-05-07
City Hotel,0,38,2016,March,10,3,0,3,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient-Party,87.71,0,1,Check-Out,2016-03-06
Resort Hotel,0,165,2016,October,43,22,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,57.0,0,0,Check-Out,2016-10-29
Resort Hotel,1,312,2017,March,10,5,2,5,1,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,E,E,1,No Deposit,0,Transient-Party,58.0,0,0,Canceled,2017-02-21
City Hotel,0,0,2016,July,31,30,2,1,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,D,2,No Deposit,0,Transient,84.8,0,0,Check-Out,2016-08-02
City Hotel,0,4,2016,November,47,19,0,1,2,0.0,1,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,0,Transient,99.0,1,2,Check-Out,2016-11-20
