edition,start_date,winner_name,winner_team,distance,time_overall,time_margin,stage_wins,stages_led,height,weight,age,born,died,full_name,nickname,birth_town,birth_country,nationality,latitude,longitude
1,01-07-1903,Maurice Garin,La Française,2428,94.55388889,2.989166667,3,6,1.62,60,32,1871-03-03,19-02-1957,NA,The Little Chimney-sweep,Arvier,Italy,France,46.603354,1.888334
2,02-07-1904,Henri Cornet,Conte,2428,96.09861111,2.270555556,1,3,NA,NA,19,1884-08-04,18-03-1941,NA,Le rigolo (The joker),Desvres,France,France,46.603354,1.888334
3,09-07-1905,Louis Trousselier,Peugeot–Wolber,2994,NA,NA,5,10,NA,NA,24,1881-06-29,24-04-1939,NA,Levaloy / Trou-trou,Paris,France,France,46.603354,1.888334
4,04-07-1906,René Pottier,Peugeot–Wolber,4637,NA,NA,5,12,NA,NA,27,1879-06-05,25-01-1907,NA,NA,Moret-sur-Loing,France,France,46.603354,1.888334
5,08-07-1907,Lucien Petit-Breton,Peugeot–Wolber,4488,NA,NA,2,5,NA,NA,24,1882-10-18,20-12-1917,Lucien Georges Mazan,Lucien Petit-Breton,Plessé,France,France,46.603354,1.888334
6,13-07-1908,Lucien Petit-Breton,Peugeot–Wolber,4497,NA,NA,5,13,NA,NA,25,1882-10-18,20-12-1917,Lucien Georges Mazan,Lucien Petit-Breton,Plessé,France,France,46.603354,1.888334
7,05-07-1909,François Faber,Alcyon–Dunlop,4498,NA,NA,6,13,1.78,88,22,1887-01-26,09-05-1915,NA,The giant of colombes,Aulnay-sur-Iton,France,Luxembourg,49.611277,6.129799
8,01-07-1910,Octave Lapize,Alcyon–Dunlop,4734,NA,NA,4,3,NA,NA,22,1887-10-24,14-07-1917,NA,NA,Paris,France,France,46.603354,1.888334
9,02-07-1911,Gustave Garrigou,Alcyon–Dunlop,5343,NA,NA,2,13,NA,NA,26,1884-09-24,28-01-1963,Cyprien Gustave Garrigou,NA,Vabres,France,France,46.603354,1.888334
10,30-06-1912,Odile Defraye,Alcyon–Dunlop,5289,NA,NA,3,13,NA,NA,23,1888-07-14,21-08-1965,NA,NA,Rumbeke,Belgium,Belgium,50.640281,4.666715
11,29-06-1913,Philippe Thys,Peugeot–Wolber,5287,197.9,0.135555556,1,8,NA,NA,23,1889-10-08,16-01-1971,NA,Le basset (The Basset Hound),Anderlecht,Belgium,Belgium,50.640281,4.666715
12,28-06-1914,Philippe Thys,Peugeot–Wolber,5380,200.48,0.016944444,1,15,NA,NA,24,1889-10-08,16-01-1971,NA,Le basset (The Basset Hound),Anderlecht,Belgium,Belgium,50.640281,4.666715
13,29-06-1919,Firmin Lambot,La Sportive,5560,231.1208333,1.715,1,2,NA,NA,33,1886-03-14,19-01-1964,NA,NA,Florennes,Belgium,Belgium,50.640281,4.666715
14,27-06-1920,Philippe Thys,La Sportive,5503,228.6036111,0.965833333,4,14,NA,NA,30,1889-10-08,16-01-1971,NA,Le basset (The Basset Hound),Anderlecht,Belgium,Belgium,50.640281,4.666715
15,26-06-1921,Léon Scieur,La Sportive,5485,221.8405556,0.305,2,14,NA,NA,33,1888-03-18,07-10-1969,NA,NA,Florennes,Belgium,Belgium,50.640281,4.666715
16,25-06-1922,Firmin Lambot,Peugeot–Wolber,5375,222.135,0.694722222,0,3,NA,NA,36,1886-03-14,19-01-1964,NA,NA,Florennes,Belgium,Belgium,50.640281,4.666715
17,24-06-1923,Henri Pélissier,Automoto–Hutchinson,5386,222.2583333,0.508333333,3,6,NA,NA,34,1889-01-22,01-05-1935,NA,NA,Paris,France,France,46.603354,1.888334
18,22-06-1924,Ottavio Bottecchia,Automoto,5425,226.3058333,0.593055556,4,15,NA,NA,29,1894-08-01,15-06-1927,NA,NA,San Martino di Colle Umberto,Italy,Italy,42.638426,12.674297
19,21-06-1925,Ottavio Bottecchia,Automoto–Hutchinson,5440,219.1716667,0.915,4,13,NA,NA,30,1894-08-01,15-06-1927,NA,NA,San Martino di Colle Umberto,Italy,Italy,42.638426,12.674297
20,20-06-1926,Lucien Buysse,Automoto–Hutchinson,5745,238.7402778,1.373611111,2,8,NA,NA,33,1892-09-11,03-01-1980,NA,NA,Wontergem,Belgium,Belgium,50.640281,4.666715
21,19-06-1927,Nicolas Frantz,Alcyon–Dunlop,5398,198.2783333,1.811388889,3,14,NA,NA,27,1899-11-04,08-11-1985,NA,NA,Mamer,Luxembourg,Luxembourg,49.611277,6.129799
22,17-06-1928,Nicolas Frantz,Alcyon–Dunlop,5476,192.8161111,0.847222222,5,22,NA,NA,28,1899-11-04,08-11-1985,NA,NA,Mamer,Luxembourg,Luxembourg,49.611277,6.129799
23,30-06-1929,Maurice De Waele,Alcyon–Dunlop,5286,186.6541667,0.745555556,1,16,NA,NA,32,1896-12-27,14-02-1952,NA,NA,Lovendegem,Belgium,Belgium,50.640281,4.666715
24,02-07-1930,André Leducq,Alcyon–Dunlop,4822,172.2044444,0.237222222,2,13,NA,NA,26,27-02-1904,18-06-1980,NA,NA,Saint-Ouen,France,France,46.603354,1.888334
25,30-06-1931,Antonin Magne,France,5091,177.1675,0.203333333,1,16,NA,NA,27,15-01-1904,08-09-1983,NA,NA,Ytrac,France,France,46.603354,1.888334
26,06-07-1932,André Leducq,France,4479,154.1969444,0.406666667,6,19,NA,NA,28,27-02-1904,18-06-1980,NA,NA,Saint-Ouen,France,France,46.603354,1.888334
27,27-06-1933,Georges Speicher,France,4395,147.8602778,0.067777778,3,12,NA,NA,26,08-06-1907,24-01-1978,NA,NA,Paris,France,France,46.603354,1.888334
28,03-07-1934,Antonin Magne,France,4470,147.2327778,0.4575,3,22,NA,NA,30,15-01-1904,08-09-1983,NA,NA,Ytrac,France,France,46.603354,1.888334
29,04-07-1935,Romain Maes,Belgium,4338,141.3833333,0.288055556,3,21,NA,NA,22,10-08-1912,22-02-1983,NA,NA,Zerkegem,Belgium,Belgium,50.640281,4.666715
30,07-07-1936,Sylvère Maes,Belgium,4442,142.7922222,0.440555556,4,14,NA,NA,26,27-08-1909,05-12-1966,NA,NA,Zevekote,Belgium,Belgium,50.640281,4.666715
31,30-06-1937,Roger Lapébie,France,4415,138.9752778,0.118611111,3,4,NA,NA,26,16-01-1911,12-10-1996,NA,NA,Bayonne,France,France,46.603354,1.888334
32,05-07-1938,Gino Bartali,Italy,4694,148.4866667,0.305,2,8,1.72,66,23,18-07-1914,05-05-2000,NA,"Gino the Pious, Ginettaccio, L'uomo di ferro, L'intramontabile",Ponte e Ema,Italy,Italy,42.638426,12.674297
33,10-07-1939,Sylvère Maes,Belgium,4224,132.0547222,0.508333333,2,8,NA,NA,29,27-08-1909,05-12-1966,NA,NA,Zevekote,Belgium,Belgium,50.640281,4.666715
34,25-06-1947,Jean Robic,France,4642,148.1902778,0.050833333,3,1,1.61,60,26,10-06-1921,06-10-1980,NA,"Biquet(Kid goat), Tête de cuir(Leather-head), Le farfadet de la lande Bretonne,
Gueule cassée",Vouziers,France,France,46.603354,1.888334
